# id   lat         lon           alt   title /other title/, cat
3937   42.7498100   43.7894400  4050  пер. Цей-Тбилиза, 3Б
3938   42.7443100   43.7991600  4100  пер. Чанчахи, 3Б
3941   42.8068300   43.7888500  3650  пер. Чилингини, 2А
3942   42.6331321   44.2333367  3230  пер. Авсанвандаг /Вациспарс/, 1А
3944   42.7389300   44.0605300  3500  пер. Бад В. /Ветреный/, 1Б
3945   42.7425300   44.0891400  3200  пер. Безымянный, 1А
3946   42.7436932   44.1216897  3314  пер. Боковой, 1А
3947   42.6984614   44.2228464  3485  пер. Бугульта В., 1Б
3948   42.6944738   44.2126815  3460  пер. Бугульта З., 1Б
3949   42.7120432   44.1326966  3718  пер. ВВС, 3А
3950   42.7353167   44.0758667  3500  пер. Встречный, 1Б
3951   42.7416222   44.1039694  3460  пер. Зуб, 1Б
3952   42.6915500   44.2390700  3500  пер. Закка /Закка Юж., Закка Вост./, 1Б
3953   42.7378200   44.0959400  3540  пер. Комлагат, 1Б
3954   42.7472756   44.1572164  3622  пер. Калота-Цазги /Хардотчин, Колота-Цазги/, 2Б
3955   42.6890803   44.1743456  3287  пер. Калота /Колота, Куртатинский/, н/к
3956   42.8051026   44.1934748  2850  пер. Кайский /Кайданский/, 1А
3957   42.7783027   44.1644520  3236  пер. Маршала Еременко /Уналский/, 1Б
3958   42.7410600   44.0637700  3500  пер. Муравей, 1А
3959   42.7272536   44.1171103  3424  пер. Охотников /Охотничий/, 1Б
3960   42.7673300   44.2009192  3300  пер. Осыпной /Осыпной Цазгинский/, 1Б
3961   42.7368000   44.1099361  3570  пер. Сталь Зап., 2А
3964   42.7191831   44.1278000  3670  пер. Сталь Ю. /Тепли В./, 2А
3966   42.7222819   44.1244472  3920  пер. Тепли З. /Тепли/, 2Б
3967   42.6720894   44.2454352  3150  пер. Терек /Сивераут Южный/, 2А
3969   42.6492965   44.2397905  3132  пер. Трусо /Трусовский/, н/к
3970   42.7556700   44.0385100  3500  пер. Урусти, 2А*
3971   42.7607124   44.1503876  3786  пер. Цазги /Цаджиу/, 2Б
3974   42.7402585   44.1452048  4014  пер. Хетагурова, 3А
3975   42.7163603   44.4206539  4522  пер. Алан, 3А*
3976   42.7118427   44.4213090  4400  пер. Алан Ю., 3А*
3977   42.6587670   44.5735990  2930  пер. Арша /Соберце/, н/к
3978   42.6583489   44.5575827  3387  пер. Гергети, н/к
3981   42.7458417   44.3160260  3967  пер. Дергалина, 2Б
3982   42.7104365   44.4115134  4346  пер. Джимарай /Джимарайский/, 3А
3983   42.7321700   44.3148600  3647  пер. Дзамараш, 1А
3984   42.7350111   44.3057965  3831  пер. Динамо, 1Б
3985   42.7385326   44.3953015  4274  пер. Зейгалан, 3А*
3987   42.7001910   44.5024070  4377  пер. Казбекский, 2Б-3А
3988   42.7386031   44.5040627  3916  пер. Кармадон /Южный Кармадон/, 2А
3989   42.7455308   44.5087856  3820  пер. Кармадон С., 2А-3А
3991   42.7187946   44.4347382  4100  пер. Колка, 3А
3993   42.6658225   44.2530159  3160  пер. Куракиаут, 1А
3994   42.7557636   44.3211740  3960  пер. Лико Донченты /Донченты/, 2Б*
3996   42.7204439   44.4543386  3911  пер. Майли-Суатиси, 3А
3998   42.7336400   44.3113700  3734  пер. Мидаграбин, 1Б
3999   42.7039460   44.4877730  4380  пер. Мнаиси /Мна/, 2Б
4000   42.6819444   44.4488889  3499  пер. Молодой коммунист, 1Б
4003   42.6760861   44.5036722  3950  пер. Орцвери, 2А
4006   42.7138330   44.4675390  4240  пер. 50 лет СССР, 2А-3А
4008   42.6962465   44.2757877  3600  пер. Ребро Сивераута, 2А
4009   42.7187571   44.3347945  3540  пер. Реси В., 2А
4010   42.7203167   44.3243667  3668  пер. Реси З., 1Б
4011   42.7003005   44.2976022  3600  пер. Реси Новый, 2А
4012   42.7209359   44.3208733  3500  пер. Реси С., 2А
4014   42.7014597   44.3404957  3657  пер. Реси-Теп, 2А
4015   42.6863200   44.2454900  3540  пер. Сивераут, 1Б
4016   42.6915389   44.2701225  3640  пер. Сивераут Ледовый, 2Б
4017   42.7088787   44.4017197  4143  пер. Суатиси, 3А
4020   42.6870905   44.3851787  3892  пер. Теп-Суатиси, 2А
4021   42.7088151   44.3891086  4023  пер. Теп В., 2Б
4022   42.7137631   44.3575315  3732  пер. Теп З., 2А-2Б
4023   42.7579835   44.3973620  3609  пер. Туманный /Камчатский/, 1Б
4024   42.7414370   44.2969335  3815  пер. Цариут, 2Б
4025   42.7477308   44.4251225  3893  пер. Цата, 2Б
4026   42.7150159   44.3393304  3718  пер. Цити, 2Б
4027   42.7531783   44.5297120  3700  пер. Чач /Чачский/, 3А
4028   42.7380234   44.4132970  4200  пер. Шау, 2Б*
4029   42.7575200   44.4365100  3911  пер. Шелестенко, 2А
4036   42.5928087   44.0154816  2925  пер. Бахфандак /Джомаг/, н/к
4038   42.5875900   43.9624800  3300  пер. Букет Осетии, 1А
4041   42.5333090   44.3647720  3179  пер. Вулканический, 1А
4042   42.6572500   43.6323700  3000  пер. Геске, 1А
4044   42.5849456   44.2504181  2900  пер. Гоцо, 1Б
4045   42.5488870   44.3308850  3363  пер. Деси /Десиком/, 1А
4046   42.5561187   44.3164461  3380  пер. Деси З., 1Б
4054   42.6190962   44.2307718  3300  пер. Зилга /Катласан/, 1Б
4055   42.6431800   43.9431700  2900  пер. Зругский /Зруг/, н/к
4063   42.5930756   44.2456262  3350  пер. Кулуарный, 2А*
4064   42.6003813   44.0633396  2681  пер. Кутх /Маги, Маг/, н/к
4068   42.5801688   44.3060894  3300  пер. Находка, 1Б
4069   42.6143544   44.2660257  3250  пер. Нахсви, 2А*
4070   42.6022222   43.8572222  3150  пер. Облачный, 1Б
4075   42.6108494   44.2958539  2700  пер. Пастуший /Цоцолтинский/, н/к
4076   42.6113377   44.1359971  2992  пер. Рокский, 1А
4078   42.6077699   44.2272390  3700  пер. Россия, 2Б*
4080   42.6303758   44.2053265  2924  пер. Сбайский /Сбазвайц/, 1А
4086   42.5958852   44.2522530  3380  пер. Улитка, 2А
4088   42.5868173   44.2966343  3241  пер. Урусти /Урстуалтевцек, Урусти Терекский/, 1Б*
4090   42.6032600   43.8433500  3350  пер. Халаца, 1Б*
4092   42.5321660   44.3477190  3337  пер. Харульский, 1А
4093   42.5405600   44.4089900  3250  пер. Хорисар, 1Б
4094   42.5992148   44.2750735  3100  пер. Цоцолта /Лиахви/, 2А*
4095   42.5994308   44.2416773  3418  пер. Челиат, 2А*
4097   42.6110353   44.2654526  3100  пер. Черная стена, 2А*
4102   42.5455669   44.3519511  3404  пер. Эси, 1Б
7054   42.7739300   44.4416600  3510  пер. Урадонский, 1Б*
7055   42.7389500   44.0649900  3630  вер. Корона, 1А
7104   42.7382000   44.0438500  3500  пер. Бероева, 2А
7156   42.7750000   43.8047222  4649  вер. Уилпата, 2Б
7157   42.7650000   43.7866667  4344  пер. Фестивальный, 3А
7158   42.7258333   43.8363889  3769  пер. Зарамаг Ю. /Заромаг Ю./, 2А
7159   42.7217974   44.3137104  3606  пер. Реси Ю., 1Б-2А
8598   42.6968645   44.2318556  3550  пер. Закка Сев. /Закка Зап./, 1Б
8599   42.7009124   44.2287410  3709  вер. Заккахох
8600   42.6675432   44.2416103  3594  вер. пик Терек
8601   42.6707296   44.2223752  3200  пер. Сланцевый, н/к
8602   42.6811695   44.2512486  3767  вер. Сивераут
8603   42.6898565   44.2662609  3702  вер. пик Полевого
8604   42.6868100   44.2611900     0  вер. пик Субортовича
8605   42.6842165   44.2563185  3732  пер. ЗИЛ, 1Б
8606   42.6948800   44.2741693  3789  вер. пик Доброй Воли
8607   42.6968686   44.2788451  3785  вер. 3785
8608   42.6973621   44.2163224  3633  вер. 3633
8609   42.7212893   44.2335982  2934  вер. Аршикомхох
8610   42.7343880   44.2318015  2535  вер. Аштаукакхох
8611   42.6993409   44.2886233  3847  вер. пик Овчарова
8612   42.7033005   44.2953208     0  вер. пик РХТУ
8613   42.7119521   44.3054405  3943  вер. пик Руднева
8614   42.7019241   44.2920673  3750  пер. Пяти, 2А
8615   42.7193618   44.3096498  3740  пер. Реси Высокий, 2А
8616   42.7227369   44.3196273  3763  вер. 3763
8617   42.7195857   44.3219099  3821  вер. Ресихох
8618   42.7338167   44.3076496  3844  вер. пик Динамо
8619   42.7402777   44.3045111  4123  вер. Цариут
8620   42.7596983   44.4382471  4106  вер. пик Геодезист
8621   42.7743630   44.4479333  3606  вер. пик Владикавказ
8622   42.6970600   44.5181200  5033  вер. Казбек В.
8623   42.6042086   44.1494120  3285  вер. Резахох
8624   42.6153204   44.1051329  3106  вер. Сохе
8625   42.6245092   44.1854028  3144  пер. Санат, 1Б
8626   42.6272230   44.1855714  3264  вер. Курфута
8627   42.6264882   44.2313497  3573  вер. Узловая /Вацигларс/
8628   42.6104754   44.2256299  3856  вер. Вацинпарс
8629   42.6064589   44.2339874  3849  вер. Зилгахох
8630   42.7338199   44.1312325  4431  вер. Тепли
8631   42.7454681   44.1780959  4158  вер. Архон
8632   42.7518494   44.1853729  3984  вер. Архон Мал.
8633   42.7579130   44.1904060  3571  вер. Архон Сев.
8634   42.7632487   44.1991309  3505  вер. Пакота Ю.
8635   42.7658232   44.2009385  3480  вер. Пакота С.
8636   42.7691382   44.2008959  3482  вер. 3482
8638   42.7412476   44.1779472  3900  пер. Салай, 2Б
8639   42.7364914   44.1872094  3500  пер. Салай Ниж., 1Б?
8640   42.7287533   44.3434772  3000  вер. Хицан
8641   42.7184545   44.3345933  3724  вер. пик Гапоненко
8642   42.7138456   44.3454735  3857  вер. 3857
8643   42.7104076   44.3504140  3906  вер. Цитихох
8644   42.7054035   44.3449492  3871  вер. 3871
8645   42.6966306   44.3393210  3889  вер. пик СКГМИ
8646   42.7156181   44.3658913  3934  вер. Тепхох
8647   42.7158048   44.3724291  4017  вер. Мидаграбин
8648   42.7147856   44.3789789  4028  вер. 4028
8649   42.7109193   44.3886218  4012  вер. 4012
8650   42.7043118   44.3924220  4462  вер. Суатисихох
8651   42.6768413   44.3848713  3611  пер. Гимара, 1Б
8652   42.6688601   44.3859710  3539  пер. Гимара Ю., 1Б
8653   42.6608756   44.3864580  3761  вер. Гимарахох
8654   42.7027270   44.4068868  4365  вер. пик Геолог
8655   42.7073994   44.4070467  4365  вер. 4365
8656   42.7193513   44.4161298  4780  вер. Джимарайхох /Джимара/
8657   42.7244685   44.4148555  4300  пер. Минский /Зенит/, 3Б
8658   42.7418992   44.4050824  4636  вер. Шаухох
8659   42.7368566   44.3918424  4311  вер. 4311
8660   42.7372617   44.3830478  4322  вер. пик Дружба
8661   42.7384284   44.3758809  4312  вер. Зейголанхох
8662   42.7684433   44.3806930  2981  вер. Скарон
8663   42.7683059   44.3831489  2900  пер. Скаром, 2А
8664   42.7617582   44.3987570  3664  вер. Цатахох
8665   42.7802704   44.3942818  3079  вер. Галауцагат
8666   42.7492590   44.4610381  3425  вер. пик Хурхун
8667   42.6029085   44.0499122  3006  вер. Кауком
8668   42.5988584   44.0384272  2951  вер. Дземцена
8669   42.5988967   44.0334605  2858  пер. Дземцена, 1А*
8670   42.5969841   44.0212198  3037  вер. Бахфандаг
8671   42.6923577   44.2030855  3505  вер. 3505
8672   42.6461606   44.0703559  2919  вер. Психох
8673   42.6478318   44.0801585  2807  пер. Пси, н/к
8674   42.7150044   44.1315952  3849  вер. Нар
8675   42.7097397   44.1335653  3861  вер. Бад
8676   42.7050655   44.1367597  3653  пер. 50 лет СОАССР, 2Б
8677   42.6979009   44.1376412  3524  пер. Гуркумта, 1Б
8678   42.6953996   44.1333487  3429  пер. Зригат, 1А*
8679   42.6832651   44.1207500  3156  пер. Малый, 1А
8680   42.7187800   44.1192426  3542  пер. Нар З., 1Б
8681   42.7405009   44.2917065  3928  вер. 3928
8682   42.7448304   44.2853945  3920  вер. пик Медик
8683   42.7328855   44.2865380  3938  вер. пик Курсант
8684   42.7485684   44.2768517  4148  вер. Сырхыбарзонд
8685   42.7426599   44.3077855  3991  вер. пик Пирогова
8686   42.7446744   44.3138021  4160  вер. пик Хирхатен
8687   42.7512145   44.3185393  4192  вер. Дончентыхох
8688   42.7568364   44.3213860  4090  вер. Донченты С.
8689   42.6963020   44.5121280  5015  вер. Казбек З.
8690   42.7144623   44.0734743  3158  пер. Лья-Цми Ю. /Табагау, Нар/, 1А
8691   42.7232284   44.0770330  3300  пер. Лья-Цми С., 1Б
8692   42.7632530   44.3271977  3836  вер. пик Добза Гогаева
8693   42.7751273   44.3340535  3409  вер. Байрысырт /Банры-Сырт/
8696   42.7988757   44.3513894  2488  пер. Гачик, 1А
8697   42.8139618   44.3548578  2366  вер. Бенгаштецуп
8698   42.8066431   44.4535669  2322  вер. Арыком
8699   42.7761616   44.5113169  3388  вер. Карманайхох
8700   42.8058058   44.5375584  2491  вер. Аулисар
8701   42.7665099   44.5536898  3914  вер. Кайджаны С.
8702   42.7798183   44.5591738  3590  вер. Кайджаны Мал.
8703   42.7809735   44.5451660  3170  пер. МИФИ /Каури-Фар/
8704   42.7652695   44.5500040  3850  пер. Двойной, 1А
8705   42.8284698   44.5154829  1749  вер. Рекомраг
8706   42.7538450   44.5145768  4098  вер. Чичхох
8707   42.7538677   44.5256212  3763  пер. Чач Западный, 3А
8708   42.7562271   44.5382778  3818  пер. Чач Восточный, 3А
8709   42.7584673   44.5466806  3959  вер. Кайджаны Ю.
8710   42.7536065   44.5354386  3937  вер. пик Голубева /пик Памяти Кармадонцев/
8711   42.7413131   44.5089501  4018  вер. пик Одиночный /пик Иристон/
8712   42.7248525   44.4955877  4271  вер. пик ОЖД /пик Орджоникиджзе, пик Юрия Полякова/
8713   42.7022400   44.4935450  4552  вер. пик Спартак
8714   42.7090100   44.4771360  4597  вер. Майлихох
8715   42.7134620   44.4641110  4335  вер. пик Пастухова I
8716   42.7132983   44.4413224  4239  вер. пик Царахова
8717   42.7145250   44.4654040  4330  вер. пик Пастухова II
8718   42.5191740   44.3389270  3664  вер. влк.Кели /Кельский/
8719   42.5907471   44.2503486  3858  вер. Цал /Гоцо/
8720   42.5819998   44.2493317  3480  вер. пик Маруашвили
8721   42.5984516   44.2537696     0  вер. Шхвацабая
8722   42.6000008   44.2602786     0  вер. пик Масленникова
8723   42.6025148   44.2645328     0  вер. пик Булгакова
8724   42.6044147   44.2670604  3832  вер. Каласан
8725   42.6073578   44.2677399     0  вер. Каласан С.
8726   42.6160984   44.2677395  3300  вер. Еру
8727   42.5954037   44.2838916  3470  вер. Уруста
8728   42.5906714   44.3108678  3635  вер. Цатицуп
8729   42.5781326   44.3058061     0  вер. Лазгцити С.
8730   42.5605244   44.3097727  3877  вер. Лазгцити /Лазг-Цити/
8731   42.5518645   44.3233208  3400  вер. Яло
8732   42.5797558   44.3563806  3352  вер. Хурхатен
8733   42.6933983   44.4245447  3791  вер. 3791
8734   42.6770569   44.4264315  3187  вер. Улхандзараухох
8735   42.7594517   44.3230092  3991  вер. 3991
8736   42.7358246   44.1404076  4305  вер. Тепли В.
8737   42.7387604   44.1571272  3825  вер. пик Кульчиева
8738   42.7482781   44.1501486  4182  вер. Калота /Колота/
8739   42.7521958   44.1500950  3987  пер. Скрипака, 2Б
8740   42.7564149   44.1500374     0  вер. Цаджиухох
8741   42.7633364   44.1486134  4037  вер. пик Проскурякова
8742   42.7731837   44.1556378  3830  вер. пик Северный
8743   42.7961311   44.1815766  2843  пер. Холстский /Кутарский/, 1А
8744   42.8026548   44.1882880  3064  вер. Кай
8745   42.8308567   44.2130000  2206  пер. Архонский /Кора/, н/к
8746   42.8459000   44.2228333  2435  пер. Архонский Северный, н/к
8747   42.8373965   44.2107670  2438  вер. Касаныбарзонд
8748   42.8512438   44.2304573  2918  вер. Дашсар
9137   42.8270200   43.7779200  3700  пер. Кадурвцек Северный, 2А
9138   42.8321400   43.7604300  3870  пер. Кадурхошхин Верхний, 2А
9449   42.9546111   43.5190278  3980  пер. Виктора Сергеева, 3Б
10702   42.7395700   43.8904700  3600  пер. Цахт, 1Б
10703   42.7213889   43.8433333  3706  пер. Зарамагский, 1Б
10704   42.6080600   43.8373400  3150  пер. Дзерасса Верхний, 1Б
12529   42.7483200   44.0441290  4117  вер. Цмипкомхок
12530   42.8223110   43.9808100  2755  вер. Цацхирихох
12531   42.8260560   43.9311330  3121  вер. Сурххох
12532   42.8042190   44.0943890  2651  вер. Верх.Бад
12533   42.8283300   44.2677580  1701  вер. Дзирц
12534   42.6366030   44.2858830  3358  вер. Уайнбарз Сев.
12535   42.6248590   44.2761400  3310  вер. Уайнбарз Юж.
12536   42.6339610   44.4939030  3625  вер. Шерхота
12537   42.6181070   44.4085430  3350  вер. Касара
12538   42.6375830   44.5460230  3417  вер. Ткаршети
12539   42.8520281   44.5645069  2770  вер. Хиах
12540   42.8100819   44.5983631  2052  вер. Час
12541   42.8444450   44.6102089  1750  вер. Кандылхох
12542   42.6849520   44.6025230  2715  вер. Арцивисцвери
12543   42.6724550   44.5124130  4258  вер. Орцвери
13214   42.7925300   43.6901100  3950  пер. Бурджула II, 2Б-3А
13215   42.7777500   43.7420800  3770  пер. Обходной, 2А
13220   42.7708800   43.7420100  3950  пер. ХКТ, 2Б
13323   42.6558333   44.1019444  3100  пер. Свадебный, н/к
14609   42.9890830   43.5232500  3602  пер. Обходной, 1Б
14610   42.7968000   43.8219300  2598  пер. Снежинка, 2А
14643   42.6914600   44.1529400  3373  пер. Калота Верхний /Колота Верхний/, 1А
14650   42.5826000   43.8996500  3130  пер. Зругский перемет, 1А
14688   42.7025694   43.8674250  3112  пер. Цирюльня, 1А
14689   42.8895667   43.8278167  2360  пер. Дунта /Козоти/, нк
14690   42.9431833   43.5716167  3791  вер. Айхва /Айхва Узловая/, 1Б
14705   42.8364400   44.3930900  1788  пер. Какадурский, нк
14706   42.8668800   44.3941100  3007  вер. Тбаухох, 1А
14707   42.8330700   44.5664400  1910  пер. Санибанский, нк
14727   42.9503600   43.5560700  3310  пер. Дракон, 1А
