# id   lat         lon           alt   title /other title/, cat
 509   42.2350100   78.6674800  4200  пер. Хатиджи /Сырычат/, 2А
 511   42.0730501   78.2022634  4500  пер. Черноморец, 3А
 512   42.0528500   78.1380300  4100  пер. Чон-Борду, 2А*
 513   42.2261081   78.6487614  4500  пер. Чон-Узень, 3А
 514   42.1960667   78.5506000  4340  пер. Эпюра, 2А*
 515   42.1704858   78.4458078  4800  пер. ВГУ-400, 3А
 516   42.1474100   78.3637600  4550  пер. Байтор, 3А
 517   42.1282383   78.3118000  4500  пер. Советских Педагогов /Кривбасс/, 2Б
 518   42.1688000   78.5155167  4455  пер. ФКТ /Фрунзенского клуба туристов/, 2Б*
 540   42.1208274   78.3141601  4400  пер. Бороко, 2Б
 541   42.1549100   78.5148300  4400  пер. Облачный, 2Б*
 543   42.0221398   78.7141472  4700  пер. Магнит, 3А
 544   42.0533633   78.7583243  4500  пер. Амундсена Зап. /Надежда/, 3А
 546   42.0577500   78.7902222  4780  пер. Томичей, 3А
 547   42.0484524   78.9018152  4600  пер. Советской Конституции, 2Б
5150   42.1237700   78.2887400  4400  пер. Загадка Восточный, 2А*
5151   42.1106000   78.2804250  4400  пер. Загадка Центральный, 2А
5152   42.1038530   78.2728260  4564  пер. Загадка Западный, 2Б
5154   42.0355800   78.0751600  3890  пер. Кашкасу, 1А
5155   42.2910599   78.8281716  4200  пер. Моло Центральный /Фестивальный/, 2А*
5156   42.2856089   78.8255095  4200  пер. Моло Западный /Надежда/, 2Б
5157   42.2319718   78.6099843  4350  пер. Украина, 3А
5160   42.2093200   78.5220100  4120  пер. Делоне /Днепропетровский/, 1Б*
5161   42.2422222   78.4444444  3700  пер. Озерный, 1Б
5162   42.3127778   78.5186111  3500  пер. Панорамный, 1А
5163   42.2438889   78.5808957  4000  пер. Снежный, 1Б*
5164   42.3894170   78.8274566  3900  пер. Таштамбектор З., 1А
5165   42.2208222   78.6144917  4200  пер. Аэродинамическая труба, 2А
5166   42.0788600   78.3008300  4100  пер. Белый, 2А*
5167   42.3150480   79.1148242  3824  пер. Беркут /Бюркют/, 1А
5168   42.0734806   78.2140361  4300  пер. Боковой, 1Б
5169   42.1795200   78.7014000  4300  пер. Вильнюсский, 1Б*
5170   42.1515836   78.5229517  4000  пер. Гельфгата, 2Б*
5171   42.2417912   78.8341068  4200  пер. Девяти, 2А
5172   42.1652873   78.5151754  4550  пер. Днепропетровский турист, 2Б
5173   42.0674200   78.1969100  4200  пер. Дополнительный, 1А
5174   42.1493518   78.5167113  4500  пер. Каунас, 2Б
5176   42.0474500   78.1878100  4200  пер. Котор З., 1Б
5177   42.1452180   78.5315947  4400  пер. МГС /Московской горной секции/, 2А*
5178   42.1240694   78.5725500  4400  пер. МКТ /Московского клуба туристов/, 2А*
5181   42.1443500   78.5594400  4500  пер. 50 лет ЛКСМ Киргизии, 2Б
5182   42.2433692   78.8426799  3700  пер. Сарычат З., 1Б
5183   42.2393398   78.8234083  3700  пер. Сарычат В., 1Б
5184   42.0668111   78.2186361  4300  пер. Всеобуч, 2А
5185   42.2613043   78.7997992  4200  пер. Солнечный /Находка/, 1Б
5187   42.2176732   78.6544860  4250  пер. Степкина /Артура Степкина/, 2А*
5188   42.1491499   78.5302133  4450  пер. ТКТ /Томского клуба туристов/, 2А*
5189   42.1441333   78.4112000  4611  пер. Фестивальный, 2А*
5190   42.0385000   78.1676611  3900  пер. Кызыл /Юбилейный/, 1А
5191   41.9901472   78.1488639  3912  пер. 3912, 1А
5192   41.8238194   78.2945055  4700  пер. Аппендикс, 2Б
5193   41.9375506   78.3214219  4650  пер. Безымянный, 2Б
5194   41.7742481   78.3804368  4600  пер. Борду В., 2А*
5195   41.7679721   78.3369147  4650  пер. Борду Главный, 2А*
5196   41.9858144   78.3858303  4600  пер. Боковой, 1Б
5197   41.8656011   78.4029244  4650  пер. Геологов, 2Б
5198   41.7809682   78.1759345  4500  пер. Борду Ю., 2А
5199   41.8378741   78.2261536  4600  пер. Давыдова, 1Б
5200   41.8325687   78.2741678  4650  пер. Двойной, 2А
5201   41.8481304   78.2331420  4700  пер. Дерзкий, 2А
5202   41.9319106   78.3316931  4520  пер. Джаман-Су С., 1Б
5203   41.9106995   78.3385534  4450  пер. Джаман-Су Центр., 2А
5204   41.8591658   78.3816785  4700  пер. Джаман-Су Ю., 2Б
5205   41.8619686   78.3937541  4750  пер. Днепропетровский, 2Б
5206   41.8693393   78.3930621  4600  пер. Дружба, 2А
5207   41.9499611   78.3515000  4560  пер. Золотарева, 2Б
5208   41.8436630   78.2575738  4700  пер. Интернациональ-ный, 2А
5209   41.7735667   78.2939000  4300  пер. Каинды /Коянды/, 1Б
5210   41.9460502   78.3442519  4720  пер. Казахстан /Дружба/, 3А
5211   41.8734835   78.4181155  4800  пер. Калесника, 3А
5212   41.8685259   78.4103251  4850  пер. Калесника З., 3А
5213   41.8311775   78.2786969  4600  пер. Кара-Сай С., 2А
5214   41.7131015   78.2446702  4500  пер. Кара-Сай Ю., 1Б
5215   41.9437158   78.3296417  4600  пер. Кента Рокуэлла, 2А*
5216   41.8500584   78.3138916  4500  пер. Клешня, 1Б*
5217   41.7343627   78.2744527  4650  пер. Краевского, 2А
5218   41.8483935   78.4493978  4300  пер. Кургатепчи /Разведочный/, 1А
5219   41.8057384   78.2754603  4600  пер. Лагерный, 2А
5220   41.7846186   78.3861538  4500  пер. Ледовый, 1Б*
